Warehouse,Part_No,Total_Demand,Avg_Demand,Std_Demand,CV,Non_Zero_Months,Intermittency_Rate,Demand_Class,Safety_Stock,Reorder_Point,Target_Stock_Level,Inventory_Coverage,Service_Level_Achievement,Inventory_Risk
1152,2200949658,960.0,14.33,17.89,1.25,32,0.52,Fast Moving,29.5185,43.8485,58.1785,4.059909281228193,100.0,Medium Risk
1152,2200959265,0.0,0.0,0.0,0.0,0,1.0,Dead Stock,0.0,0.0,0.0,0.0,100.0,Dead Inventory
1152,2200964106,800.0,11.94,24.57,2.06,14,0.79,Slow Moving,40.5405,52.4805,64.4205,5.3953517587939706,100.0,High Risk
1152,2200969011,4394.0,65.58,55.77,0.85,66,0.01,Fast Moving,92.0205,157.6005,223.1805,3.4031793229643186,100.0,Low Risk
1152,2200975192,450.0,6.72,10.76,1.6,38,0.43,Fast Moving,17.753999999999998,24.473999999999997,31.193999999999996,4.641964285714285,100.0,Medium Risk
1152,2200977024,4.0,0.06,0.49,8.12,1,0.99,Intermittent,0.8085,0.8685,0.9285000000000001,15.475000000000001,100.0,High Risk
1152,2200977581,417.0,6.22,6.21,1.0,57,0.15,Fast Moving,10.2465,16.4665,22.6865,3.6473472668810287,100.0,Low Risk
1152,2200978435,0.0,0.0,0.0,0.0,0,1.0,Dead Stock,0.0,0.0,0.0,0.0,100.0,Dead Inventory
1152,2200980464,2016.0,30.09,73.61,2.45,27,0.6,Fast Moving,121.45649999999999,151.54649999999998,181.63649999999998,6.036440677966101,100.0,High Risk
1152,2200980973,7.0,0.1,0.43,4.1,4,0.94,Intermittent,0.7094999999999999,0.8094999999999999,0.9094999999999999,9.094999999999999,100.0,High Risk
1152,2200984754,27.0,0.4,1.92,4.76,4,0.94,Intermittent,3.1679999999999997,3.5679999999999996,3.9679999999999995,9.919999999999998,100.0,High Risk
1152,2200984820,38.0,0.57,3.45,6.09,2,0.97,Intermittent,5.6925,6.2625,6.8325000000000005,11.98684210526316,100.0,High Risk
1152,2200984851,0.0,0.0,0.0,0.0,0,1.0,Dead Stock,0.0,0.0,0.0,0.0,100.0,Dead Inventory
1152,2200984855,5.0,0.07,0.61,8.12,1,0.99,Intermittent,1.0065,1.0765,1.1465,16.378571428571426,100.0,High Risk
1152,2200984869,0.0,0.0,0.0,0.0,0,1.0,Dead Stock,0.0,0.0,0.0,0.0,100.0,Dead Inventory
1152,2200990821,477.0,7.12,7.73,1.09,60,0.1,Fast Moving,12.7545,19.8745,26.994500000000002,3.791362359550562,100.0,Medium Risk
1152,2200990942,79.0,1.18,5.89,5.0,5,0.93,Intermittent,9.718499999999999,10.898499999999999,12.078499999999998,10.23601694915254,100.0,High Risk
1152,2200990943,48.0,0.72,5.82,8.12,1,0.99,Intermittent,9.603,10.323,11.043000000000001,15.337500000000002,100.0,High Risk
1152,2200990945,0.0,0.0,0.0,0.0,0,1.0,Dead Stock,0.0,0.0,0.0,0.0,100.0,Dead Inventory
1152,2200990954,0.0,0.0,0.0,0.0,0,1.0,Dead Stock,0.0,0.0,0.0,0.0,100.0,Dead Inventory
1152,2200990962,85.0,1.27,4.43,3.49,7,0.9,Slow Moving,7.309499999999999,8.5795,9.849499999999999,7.755511811023621,100.0,High Risk
1152,2200990974,0.0,0.0,0.0,0.0,0,1.0,Dead Stock,0.0,0.0,0.0,0.0,100.0,Dead Inventory
1152,2200992478,0.0,0.0,0.0,0.0,0,1.0,Dead Stock,0.0,0.0,0.0,0.0,100.0,Dead Inventory
1152,2200992479,9.0,0.13,0.52,3.84,5,0.93,Intermittent,0.858,0.988,1.1179999999999999,8.6,100.0,High Risk
1152,2200992480,0.0,0.0,0.0,0.0,0,1.0,Dead Stock,0.0,0.0,0.0,0.0,100.0,Dead Inventory
1152,2200992950,0.0,0.0,0.0,0.0,0,1.0,Dead Stock,0.0,0.0,0.0,0.0,100.0,Dead Inventory
1152,2200993664,3780.0,56.42,50.89,0.9,62,0.07,Fast Moving,83.96849999999999,140.3885,196.80849999999998,3.488275434243176,100.0,Low Risk
1152,2200993908,5.0,0.07,0.61,8.12,1,0.99,Intermittent,1.0065,1.0765,1.1465,16.378571428571426,100.0,High Risk
1152,2200994041,740.0,11.04,14.85,1.34,51,0.24,Fast Moving,24.502499999999998,35.5425,46.582499999999996,4.219429347826087,100.0,Medium Risk
1152,2200995135,120.0,1.79,10.21,5.7,2,0.97,Intermittent,16.8465,18.636499999999998,20.426499999999997,11.411452513966479,100.0,High Risk
1152,2200995384,79.0,1.18,2.99,2.53,14,0.79,Slow Moving,4.9335,6.1135,7.2935,6.180932203389831,100.0,High Risk
1152,2201088812,0.0,0.0,0.0,0.0,0,1.0,Dead Stock,0.0,0.0,0.0,0.0,100.0,Dead Inventory
1152,2201543499,864.0,12.9,14.48,1.12,61,0.09,Fast Moving,23.892,36.792,49.692,3.8520930232558137,100.0,Medium Risk
1152,2220378932,0.0,0.0,0.0,0.0,0,1.0,Dead Stock,0.0,0.0,0.0,0.0,100.0,Dead Inventory
1152,2220378934,0.0,0.0,0.0,0.0,0,1.0,Dead Stock,0.0,0.0,0.0,0.0,100.0,Dead Inventory
1152,2220378937,0.0,0.0,0.0,0.0,0,1.0,Dead Stock,0.0,0.0,0.0,0.0,100.0,Dead Inventory
1152,2220571854,131.0,1.96,3.23,1.65,35,0.48,Fast Moving,5.3294999999999995,7.289499999999999,9.2495,4.719132653061224,100.0,Medium Risk
1152,2220586979,0.0,0.0,0.0,0.0,0,1.0,Dead Stock,0.0,0.0,0.0,0.0,100.0,Dead Inventory
1152,2220592787,0.0,0.0,0.0,0.0,0,1.0,Dead Stock,0.0,0.0,0.0,0.0,100.0,Dead Inventory
1152,2220840154,1.0,0.01,0.12,8.12,1,0.99,Intermittent,0.19799999999999998,0.208,0.218,21.8,100.0,High Risk
1152,2220864662,13031.0,194.49,154.77,0.8,65,0.03,Fast Moving,255.3705,449.8605,644.3505,3.313026376677464,100.0,Low Risk
1152,2221229883,1281.0,19.12,23.31,1.22,54,0.19,Fast Moving,38.461499999999994,57.58149999999999,76.7015,4.011584728033473,100.0,Medium Risk
1152,2221230282,173.0,2.58,4.3,1.67,24,0.64,Fast Moving,7.095,9.675,12.255,4.75,100.0,Medium Risk
1152,2221230631,0.0,0.0,0.0,0.0,0,1.0,Dead Stock,0.0,0.0,0.0,0.0,100.0,Dead Inventory
1152,2221230671,19.0,0.28,1.88,6.61,2,0.97,Intermittent,3.102,3.3819999999999997,3.662,13.078571428571427,100.0,High Risk
1152,2221231846,17283.0,257.96,214.65,0.83,60,0.1,Fast Moving,354.1725,612.1324999999999,870.0925,3.3729744921693285,100.0,Low Risk
1152,2221426987,747.0,11.15,9.33,0.84,66,0.01,Fast Moving,15.394499999999999,26.5445,37.6945,3.38067264573991,100.0,Low Risk
1152,2221431831,0.0,0.0,0.0,0.0,0,1.0,Dead Stock,0.0,0.0,0.0,0.0,100.0,Dead Inventory
1152,2221431840,0.0,0.0,0.0,0.0,0,1.0,Dead Stock,0.0,0.0,0.0,0.0,100.0,Dead Inventory
1152,2221436201,0.0,0.0,0.0,0.0,0,1.0,Dead Stock,0.0,0.0,0.0,0.0,100.0,Dead Inventory
1152,2221439330,0.0,0.0,0.0,0.0,0,1.0,Dead Stock,0.0,0.0,0.0,0.0,100.0,Dead Inventory
1152,2221439583,0.0,0.0,0.0,0.0,0,1.0,Dead Stock,0.0,0.0,0.0,0.0,100.0,Dead Inventory
1152,2221441157,0.0,0.0,0.0,0.0,0,1.0,Dead Stock,0.0,0.0,0.0,0.0,100.0,Dead Inventory
1152,2221441165,0.0,0.0,0.0,0.0,0,1.0,Dead Stock,0.0,0.0,0.0,0.0,100.0,Dead Inventory
1152,2221441166,0.0,0.0,0.0,0.0,0,1.0,Dead Stock,0.0,0.0,0.0,0.0,100.0,Dead Inventory
