Part_No,Best_Model,Forecast_Month,Forecast_Value
IA202651,Moving Average,1,674.33
IA202651,Moving Average,2,528.11
IA202651,Moving Average,3,498.81
IA202651,Moving Average,4,567.09
IA202651,Moving Average,5,531.34
IA202651,Moving Average,6,532.41
IA202651,Moving Average,7,543.61
IA202651,Moving Average,8,535.79
IA202651,Moving Average,9,537.27
IA202651,Moving Average,10,538.89
IA202651,Moving Average,11,537.32
IA202651,Moving Average,12,537.83
IA203036,ARIMA,1,1519.56
IA203036,ARIMA,2,1417.53
IA203036,ARIMA,3,1387.83
IA203036,ARIMA,4,1379.19
IA203036,ARIMA,5,1376.67
IA203036,ARIMA,6,1375.94
IA203036,ARIMA,7,1375.72
IA203036,ARIMA,8,1375.66
IA203036,ARIMA,9,1375.64
IA203036,ARIMA,10,1375.64
IA203036,ARIMA,11,1375.63
IA203036,ARIMA,12,1375.63
IA203086,Moving Average,1,1090.0
IA203086,Moving Average,2,950.0
IA203086,Moving Average,3,856.67
IA203086,Moving Average,4,965.56
IA203086,Moving Average,5,924.07
IA203086,Moving Average,6,915.43
IA203086,Moving Average,7,935.02
IA203086,Moving Average,8,924.84
IA203086,Moving Average,9,925.1
IA203086,Moving Average,10,928.32
IA203086,Moving Average,11,926.09
IA203086,Moving Average,12,926.5
IA203416,Moving Average,1,1006.0
IA203416,Moving Average,2,939.33
IA203416,Moving Average,3,842.78
IA203416,Moving Average,4,929.37
IA203416,Moving Average,5,903.83
IA203416,Moving Average,6,891.99
IA203416,Moving Average,7,908.4
IA203416,Moving Average,8,901.41
IA203416,Moving Average,9,900.6
IA203416,Moving Average,10,903.47
IA203416,Moving Average,11,901.82
IA203416,Moving Average,12,901.96
IA208182,Moving Average,1,2126.33
IA208182,Moving Average,2,2210.44
IA208182,Moving Average,3,2011.59
IA208182,Moving Average,4,2116.12
IA208182,Moving Average,5,2112.72
IA208182,Moving Average,6,2080.15
IA208182,Moving Average,7,2103.0
IA208182,Moving Average,8,2098.62
IA208182,Moving Average,9,2093.92
IA208182,Moving Average,10,2098.51
IA208182,Moving Average,11,2097.02
IA208182,Moving Average,12,2096.48
IA215142,Holt-Winters,1,1432.55
IA215142,Holt-Winters,2,1428.28
IA215142,Holt-Winters,3,1424.02
IA215142,Holt-Winters,4,1419.76
IA215142,Holt-Winters,5,1415.5
IA215142,Holt-Winters,6,1411.23
IA215142,Holt-Winters,7,1406.97
IA215142,Holt-Winters,8,1402.71
IA215142,Holt-Winters,9,1398.44
IA215142,Holt-Winters,10,1394.18
IA215142,Holt-Winters,11,1389.92
IA215142,Holt-Winters,12,1385.66
IA215577,Holt Linear,1,1397.77
IA215577,Holt Linear,2,1297.24
IA215577,Holt Linear,3,1196.71
IA215577,Holt Linear,4,1096.18
IA215577,Holt Linear,5,995.64
IA215577,Holt Linear,6,895.11
IA215577,Holt Linear,7,794.58
IA215577,Holt Linear,8,694.05
IA215577,Holt Linear,9,593.52
IA215577,Holt Linear,10,492.99
IA215577,Holt Linear,11,392.46
IA215577,Holt Linear,12,291.93
IA215578,Moving Average,1,1000.33
IA215578,Moving Average,2,846.44
IA215578,Moving Average,3,795.26
IA215578,Moving Average,4,880.68
IA215578,Moving Average,5,840.79
IA215578,Moving Average,6,838.91
IA215578,Moving Average,7,853.46
IA215578,Moving Average,8,844.39
IA215578,Moving Average,9,845.59
IA215578,Moving Average,10,847.81
IA215578,Moving Average,11,845.93
IA215578,Moving Average,12,846.44
IA230267,Holt-Winters,1,896.86
IA230267,Holt-Winters,2,871.87
IA230267,Holt-Winters,3,846.88
IA230267,Holt-Winters,4,821.89
IA230267,Holt-Winters,5,796.91
IA230267,Holt-Winters,6,771.92
IA230267,Holt-Winters,7,746.93
IA230267,Holt-Winters,8,721.94
IA230267,Holt-Winters,9,696.96
IA230267,Holt-Winters,10,671.97
IA230267,Holt-Winters,11,646.98
IA230267,Holt-Winters,12,621.99
IA301086,Moving Average,1,0.0
IA301086,Moving Average,2,0.0
IA301086,Moving Average,3,0.0
IA301086,Moving Average,4,0.0
IA301086,Moving Average,5,0.0
IA301086,Moving Average,6,0.0
IA301086,Moving Average,7,0.0
IA301086,Moving Average,8,0.0
IA301086,Moving Average,9,0.0
IA301086,Moving Average,10,0.0
IA301086,Moving Average,11,0.0
IA301086,Moving Average,12,0.0
IA328687,Moving Average,1,533.33
IA328687,Moving Average,2,471.11
IA328687,Moving Average,3,354.81
IA328687,Moving Average,4,453.09
IA328687,Moving Average,5,426.34
IA328687,Moving Average,6,411.41
IA328687,Moving Average,7,430.28
IA328687,Moving Average,8,422.68
IA328687,Moving Average,9,421.46
IA328687,Moving Average,10,424.8
IA328687,Moving Average,11,422.98
IA328687,Moving Average,12,423.08
IA329978,Moving Average,1,1300.0
IA329978,Moving Average,2,1103.33
IA329978,Moving Average,3,901.11
IA329978,Moving Average,4,1101.48
IA329978,Moving Average,5,1035.31
IA329978,Moving Average,6,1012.63
IA329978,Moving Average,7,1049.81
IA329978,Moving Average,8,1032.58
IA329978,Moving Average,9,1031.68
IA329978,Moving Average,10,1038.02
IA329978,Moving Average,11,1034.09
IA329978,Moving Average,12,1034.6
IB001883,Holt Linear,1,1490.17
IB001883,Holt Linear,2,1365.14
IB001883,Holt Linear,3,1240.12
IB001883,Holt Linear,4,1115.09
IB001883,Holt Linear,5,990.06
IB001883,Holt Linear,6,865.04
IB001883,Holt Linear,7,740.01
IB001883,Holt Linear,8,614.98
IB001883,Holt Linear,9,489.96
IB001883,Holt Linear,10,364.93
IB001883,Holt Linear,11,239.9
IB001883,Holt Linear,12,114.87
IB002922,Moving Average,1,1960.67
IB002922,Moving Average,2,2001.22
IB002922,Moving Average,3,1519.96
IB002922,Moving Average,4,1827.28
IB002922,Moving Average,5,1782.82
IB002922,Moving Average,6,1710.02
IB002922,Moving Average,7,1773.38
IB002922,Moving Average,8,1755.41
IB002922,Moving Average,9,1746.27
IB002922,Moving Average,10,1758.35
IB002922,Moving Average,11,1753.34
IB002922,Moving Average,12,1752.65
IB999501,Croston,1,1599.07
IB999501,Croston,2,1599.07
IB999501,Croston,3,1599.07
IB999501,Croston,4,1599.07
IB999501,Croston,5,1599.07
IB999501,Croston,6,1599.07
IB999501,Croston,7,1599.07
IB999501,Croston,8,1599.07
IB999501,Croston,9,1599.07
IB999501,Croston,10,1599.07
IB999501,Croston,11,1599.07
IB999501,Croston,12,1599.07
IB999850,Moving Average,1,1815.33
IB999850,Moving Average,2,964.78
IB999850,Moving Average,3,953.04
IB999850,Moving Average,4,1244.38
IB999850,Moving Average,5,1054.07
IB999850,Moving Average,6,1083.83
IB999850,Moving Average,7,1127.43
IB999850,Moving Average,8,1088.44
IB999850,Moving Average,9,1099.9
IB999850,Moving Average,10,1105.25
IB999850,Moving Average,11,1097.86
IB999850,Moving Average,12,1101.01
ID201024,Moving Average,1,1187.67
ID201024,Moving Average,2,1006.89
ID201024,Moving Average,3,917.85
ID201024,Moving Average,4,1037.47
ID201024,Moving Average,5,987.4
ID201024,Moving Average,6,980.91
ID201024,Moving Average,7,1001.93
ID201024,Moving Average,8,990.08
ID201024,Moving Average,9,990.97
ID201024,Moving Average,10,994.33
ID201024,Moving Average,11,991.79
ID201024,Moving Average,12,992.36
ID202139,Simple Exponential Smoothing,1,994.44
ID202139,Simple Exponential Smoothing,2,994.44
ID202139,Simple Exponential Smoothing,3,994.44
ID202139,Simple Exponential Smoothing,4,994.44
ID202139,Simple Exponential Smoothing,5,994.44
ID202139,Simple Exponential Smoothing,6,994.44
ID202139,Simple Exponential Smoothing,7,994.44
ID202139,Simple Exponential Smoothing,8,994.44
ID202139,Simple Exponential Smoothing,9,994.44
ID202139,Simple Exponential Smoothing,10,994.44
ID202139,Simple Exponential Smoothing,11,994.44
ID202139,Simple Exponential Smoothing,12,994.44
ID202167,Moving Average,1,1893.67
ID202167,Moving Average,2,1940.22
ID202167,Moving Average,3,1840.3
ID202167,Moving Average,4,1891.4
ID202167,Moving Average,5,1890.64
ID202167,Moving Average,6,1874.11
ID202167,Moving Average,7,1885.38
ID202167,Moving Average,8,1883.38
ID202167,Moving Average,9,1880.96
ID202167,Moving Average,10,1883.24
ID202167,Moving Average,11,1882.52
ID202167,Moving Average,12,1882.24
ID205077,Croston,1,1491.35
ID205077,Croston,2,1491.35
ID205077,Croston,3,1491.35
ID205077,Croston,4,1491.35
ID205077,Croston,5,1491.35
ID205077,Croston,6,1491.35
ID205077,Croston,7,1491.35
ID205077,Croston,8,1491.35
ID205077,Croston,9,1491.35
ID205077,Croston,10,1491.35
ID205077,Croston,11,1491.35
ID205077,Croston,12,1491.35
ID206974,Moving Average,1,861.67
ID206974,Moving Average,2,565.89
ID206974,Moving Average,3,489.19
ID206974,Moving Average,4,638.91
ID206974,Moving Average,5,564.66
ID206974,Moving Average,6,564.25
ID206974,Moving Average,7,589.28
ID206974,Moving Average,8,572.73
ID206974,Moving Average,9,575.42
ID206974,Moving Average,10,579.14
ID206974,Moving Average,11,575.76
ID206974,Moving Average,12,576.78
ID301958,Moving Average,1,988.0
ID301958,Moving Average,2,808.33
ID301958,Moving Average,3,726.44
ID301958,Moving Average,4,840.93
ID301958,Moving Average,5,791.9
ID301958,Moving Average,6,786.42
ID301958,Moving Average,7,806.42
ID301958,Moving Average,8,794.91
ID301958,Moving Average,9,795.92
ID301958,Moving Average,10,799.08
ID301958,Moving Average,11,796.64
ID301958,Moving Average,12,797.21
ID304913,Moving Average,1,1459.67
ID304913,Moving Average,2,1338.56
ID304913,Moving Average,3,1046.07
ID304913,Moving Average,4,1281.43
ID304913,Moving Average,5,1222.02
ID304913,Moving Average,6,1183.18
ID304913,Moving Average,7,1228.88
ID304913,Moving Average,8,1211.36
ID304913,Moving Average,9,1207.8
ID304913,Moving Average,10,1216.01
ID304913,Moving Average,11,1211.72
ID304913,Moving Average,12,1211.85
ID309786,Holt-Winters,1,3979.48
ID309786,Holt-Winters,2,3991.1
ID309786,Holt-Winters,3,4002.72
ID309786,Holt-Winters,4,4014.34
ID309786,Holt-Winters,5,4025.95
ID309786,Holt-Winters,6,4037.57
ID309786,Holt-Winters,7,4049.19
ID309786,Holt-Winters,8,4060.81
ID309786,Holt-Winters,9,4072.43
ID309786,Holt-Winters,10,4084.05
ID309786,Holt-Winters,11,4095.67
ID309786,Holt-Winters,12,4107.29
ID329244,Simple Exponential Smoothing,1,3927.51
ID329244,Simple Exponential Smoothing,2,3927.51
ID329244,Simple Exponential Smoothing,3,3927.51
ID329244,Simple Exponential Smoothing,4,3927.51
ID329244,Simple Exponential Smoothing,5,3927.51
ID329244,Simple Exponential Smoothing,6,3927.51
ID329244,Simple Exponential Smoothing,7,3927.51
ID329244,Simple Exponential Smoothing,8,3927.51
ID329244,Simple Exponential Smoothing,9,3927.51
ID329244,Simple Exponential Smoothing,10,3927.51
ID329244,Simple Exponential Smoothing,11,3927.51
ID329244,Simple Exponential Smoothing,12,3927.51
ID332218,Croston,1,2661.76
ID332218,Croston,2,2661.76
ID332218,Croston,3,2661.76
ID332218,Croston,4,2661.76
ID332218,Croston,5,2661.76
ID332218,Croston,6,2661.76
ID332218,Croston,7,2661.76
ID332218,Croston,8,2661.76
ID332218,Croston,9,2661.76
ID332218,Croston,10,2661.76
ID332218,Croston,11,2661.76
ID332218,Croston,12,2661.76
ID332219,Croston,1,1825.22
ID332219,Croston,2,1825.22
ID332219,Croston,3,1825.22
ID332219,Croston,4,1825.22
ID332219,Croston,5,1825.22
ID332219,Croston,6,1825.22
ID332219,Croston,7,1825.22
ID332219,Croston,8,1825.22
ID332219,Croston,9,1825.22
ID332219,Croston,10,1825.22
ID332219,Croston,11,1825.22
ID332219,Croston,12,1825.22
ID334315,Croston,1,3840.48
ID334315,Croston,2,3840.48
ID334315,Croston,3,3840.48
ID334315,Croston,4,3840.48
ID334315,Croston,5,3840.48
ID334315,Croston,6,3840.48
ID334315,Croston,7,3840.48
ID334315,Croston,8,3840.48
ID334315,Croston,9,3840.48
ID334315,Croston,10,3840.48
ID334315,Croston,11,3840.48
ID334315,Croston,12,3840.48
ID364170,Moving Average,1,1066.33
ID364170,Moving Average,2,864.11
ID364170,Moving Average,3,663.15
ID364170,Moving Average,4,864.53
ID364170,Moving Average,5,797.26
ID364170,Moving Average,6,774.98
ID364170,Moving Average,7,812.26
ID364170,Moving Average,8,794.83
ID364170,Moving Average,9,794.02
ID364170,Moving Average,10,800.37
ID364170,Moving Average,11,796.41
ID364170,Moving Average,12,796.94
ID370657,Moving Average,1,2763.33
ID370657,Moving Average,2,2179.11
ID370657,Moving Average,3,1975.15
ID370657,Moving Average,4,2305.86
ID370657,Moving Average,5,2153.37
ID370657,Moving Average,6,2144.8
ID370657,Moving Average,7,2201.34
ID370657,Moving Average,8,2166.5
ID370657,Moving Average,9,2170.88
ID370657,Moving Average,10,2179.58
ID370657,Moving Average,11,2172.32
ID370657,Moving Average,12,2174.26
ID376839,Holt-Winters,1,3965.9
ID376839,Holt-Winters,2,4025.19
ID376839,Holt-Winters,3,4084.49
ID376839,Holt-Winters,4,4143.79
ID376839,Holt-Winters,5,4203.08
ID376839,Holt-Winters,6,4262.38
ID376839,Holt-Winters,7,4321.68
ID376839,Holt-Winters,8,4380.97
ID376839,Holt-Winters,9,4440.27
ID376839,Holt-Winters,10,4499.57
ID376839,Holt-Winters,11,4558.86
ID376839,Holt-Winters,12,4618.16
ID377754,Moving Average,1,2656.33
ID377754,Moving Average,2,2137.44
ID377754,Moving Average,3,1905.26
ID377754,Moving Average,4,2233.01
ID377754,Moving Average,5,2091.91
ID377754,Moving Average,6,2076.73
ID377754,Moving Average,7,2133.88
ID377754,Moving Average,8,2100.84
ID377754,Moving Average,9,2103.81
ID377754,Moving Average,10,2112.84
ID377754,Moving Average,11,2105.83
ID377754,Moving Average,12,2107.5
ID378974,Moving Average,1,2717.67
ID378974,Moving Average,2,2487.89
ID378974,Moving Average,3,2153.52
ID378974,Moving Average,4,2453.02
ID378974,Moving Average,5,2364.81
ID378974,Moving Average,6,2323.78
ID378974,Moving Average,7,2380.54
ID378974,Moving Average,8,2356.38
ID378974,Moving Average,9,2353.57
ID378974,Moving Average,10,2363.5
ID378974,Moving Average,11,2357.81
ID378974,Moving Average,12,2358.29
ID380825,Simple Exponential Smoothing,1,1258.67
ID380825,Simple Exponential Smoothing,2,1258.67
ID380825,Simple Exponential Smoothing,3,1258.67
ID380825,Simple Exponential Smoothing,4,1258.67
ID380825,Simple Exponential Smoothing,5,1258.67
ID380825,Simple Exponential Smoothing,6,1258.67
ID380825,Simple Exponential Smoothing,7,1258.67
ID380825,Simple Exponential Smoothing,8,1258.67
ID380825,Simple Exponential Smoothing,9,1258.67
ID380825,Simple Exponential Smoothing,10,1258.67
ID380825,Simple Exponential Smoothing,11,1258.67
ID380825,Simple Exponential Smoothing,12,1258.67
IE314595,Moving Average,1,3080.0
IE314595,Moving Average,2,2926.67
IE314595,Moving Average,3,2902.22
IE314595,Moving Average,4,2969.63
IE314595,Moving Average,5,2932.84
IE314595,Moving Average,6,2934.9
IE314595,Moving Average,7,2945.79
IE314595,Moving Average,8,2937.84
IE314595,Moving Average,9,2939.51
IE314595,Moving Average,10,2941.05
IE314595,Moving Average,11,2939.47
IE314595,Moving Average,12,2940.01
IE321872,Simple Exponential Smoothing,1,3084.21
IE321872,Simple Exponential Smoothing,2,3084.21
IE321872,Simple Exponential Smoothing,3,3084.21
IE321872,Simple Exponential Smoothing,4,3084.21
IE321872,Simple Exponential Smoothing,5,3084.21
IE321872,Simple Exponential Smoothing,6,3084.21
IE321872,Simple Exponential Smoothing,7,3084.21
IE321872,Simple Exponential Smoothing,8,3084.21
IE321872,Simple Exponential Smoothing,9,3084.21
IE321872,Simple Exponential Smoothing,10,3084.21
IE321872,Simple Exponential Smoothing,11,3084.21
IE321872,Simple Exponential Smoothing,12,3084.21
IE332266,Moving Average,1,4971.0
IE332266,Moving Average,2,5113.67
IE332266,Moving Average,3,4925.22
IE332266,Moving Average,4,5003.3
IE332266,Moving Average,5,5014.06
IE332266,Moving Average,6,4980.86
IE332266,Moving Average,7,4999.41
IE332266,Moving Average,8,4998.11
IE332266,Moving Average,9,4992.79
IE332266,Moving Average,10,4996.77
IE332266,Moving Average,11,4995.89
IE332266,Moving Average,12,4995.15
IF000466,Moving Average,1,1044.67
IF000466,Moving Average,2,992.56
IF000466,Moving Average,3,878.41
IF000466,Moving Average,4,971.88
IF000466,Moving Average,5,947.61
IF000466,Moving Average,6,932.63
IF000466,Moving Average,7,950.71
IF000466,Moving Average,8,943.65
IF000466,Moving Average,9,942.33
IF000466,Moving Average,10,945.56
IF000466,Moving Average,11,943.85
IF000466,Moving Average,12,943.91
IF000504,ARIMA,1,1649.9
IF000504,ARIMA,2,1591.37
IF000504,ARIMA,3,1574.5
IF000504,ARIMA,4,1569.64
IF000504,ARIMA,5,1568.24
IF000504,ARIMA,6,1567.84
IF000504,ARIMA,7,1567.72
IF000504,ARIMA,8,1567.69
IF000504,ARIMA,9,1567.68
IF000504,ARIMA,10,1567.68
IF000504,ARIMA,11,1567.68
IF000504,ARIMA,12,1567.68
IM300205,Moving Average,1,6326.67
IM300205,Moving Average,2,5382.22
IM300205,Moving Average,3,4962.96
IM300205,Moving Average,4,5557.28
IM300205,Moving Average,5,5300.82
IM300205,Moving Average,6,5273.69
IM300205,Moving Average,7,5377.27
IM300205,Moving Average,8,5317.26
IM300205,Moving Average,9,5322.74
IM300205,Moving Average,10,5339.09
IM300205,Moving Average,11,5326.36
IM300205,Moving Average,12,5329.4
MB293356,Holt Linear,1,1539.13
MB293356,Holt Linear,2,1508.15
MB293356,Holt Linear,3,1477.17
MB293356,Holt Linear,4,1446.19
MB293356,Holt Linear,5,1415.21
MB293356,Holt Linear,6,1384.23
MB293356,Holt Linear,7,1353.25
MB293356,Holt Linear,8,1322.26
MB293356,Holt Linear,9,1291.28
MB293356,Holt Linear,10,1260.3
MB293356,Holt Linear,11,1229.32
MB293356,Holt Linear,12,1198.34
MB344408,Moving Average,1,1333.33
MB344408,Moving Average,2,1517.78
MB344408,Moving Average,3,1077.04
MB344408,Moving Average,4,1309.38
MB344408,Moving Average,5,1301.4
MB344408,Moving Average,6,1229.27
MB344408,Moving Average,7,1280.02
MB344408,Moving Average,8,1270.23
MB344408,Moving Average,9,1259.84
MB344408,Moving Average,10,1270.03
MB344408,Moving Average,11,1266.7
MB344408,Moving Average,12,1265.52
MB394519,Holt Linear,1,1372.12
MB394519,Holt Linear,2,1330.44
MB394519,Holt Linear,3,1288.76
MB394519,Holt Linear,4,1247.08
MB394519,Holt Linear,5,1205.4
MB394519,Holt Linear,6,1163.72
MB394519,Holt Linear,7,1122.04
MB394519,Holt Linear,8,1080.36
MB394519,Holt Linear,9,1038.68
MB394519,Holt Linear,10,997.0
MB394519,Holt Linear,11,955.32
MB394519,Holt Linear,12,913.64
MB486038,ARIMA,1,2104.46
MB486038,ARIMA,2,2162.46
MB486038,ARIMA,3,2175.95
MB486038,ARIMA,4,2179.09
MB486038,ARIMA,5,2179.82
MB486038,ARIMA,6,2179.99
MB486038,ARIMA,7,2180.03
MB486038,ARIMA,8,2180.04
MB486038,ARIMA,9,2180.04
MB486038,ARIMA,10,2180.04
MB486038,ARIMA,11,2180.04
MB486038,ARIMA,12,2180.04
ME013536,Moving Average,1,1888.0
ME013536,Moving Average,2,1829.33
ME013536,Moving Average,3,1799.11
ME013536,Moving Average,4,1838.81
ME013536,Moving Average,5,1822.42
ME013536,Moving Average,6,1820.12
ME013536,Moving Average,7,1827.12
ME013536,Moving Average,8,1823.22
ME013536,Moving Average,9,1823.48
ME013536,Moving Average,10,1824.61
ME013536,Moving Average,11,1823.77
ME013536,Moving Average,12,1823.95
ME020244,Holt-Winters,1,1759.26
ME020244,Holt-Winters,2,1768.46
ME020244,Holt-Winters,3,1777.66
ME020244,Holt-Winters,4,1786.85
ME020244,Holt-Winters,5,1796.05
ME020244,Holt-Winters,6,1805.25
ME020244,Holt-Winters,7,1814.45
ME020244,Holt-Winters,8,1823.64
ME020244,Holt-Winters,9,1832.84
ME020244,Holt-Winters,10,1842.04
ME020244,Holt-Winters,11,1851.24
ME020244,Holt-Winters,12,1860.43
ME074696,Moving Average,1,1365.33
ME074696,Moving Average,2,868.44
ME074696,Moving Average,3,901.93
ME074696,Moving Average,4,1045.23
ME074696,Moving Average,5,938.53
ME074696,Moving Average,6,961.9
ME074696,Moving Average,7,981.89
ME074696,Moving Average,8,960.77
ME074696,Moving Average,9,968.19
ME074696,Moving Average,10,970.28
ME074696,Moving Average,11,966.42
ME074696,Moving Average,12,968.3
ME603242,Moving Average,1,1568.33
ME603242,Moving Average,2,1534.78
ME603242,Moving Average,3,1491.37
ME603242,Moving Average,4,1531.49
ME603242,Moving Average,5,1519.21
ME603242,Moving Average,6,1514.03
ME603242,Moving Average,7,1521.58
ME603242,Moving Average,8,1518.27
ME603242,Moving Average,9,1517.96
ME603242,Moving Average,10,1519.27
ME603242,Moving Average,11,1518.5
ME603242,Moving Average,12,1518.58
MF140225,Croston,1,1987.28
MF140225,Croston,2,1987.28
MF140225,Croston,3,1987.28
MF140225,Croston,4,1987.28
MF140225,Croston,5,1987.28
MF140225,Croston,6,1987.28
MF140225,Croston,7,1987.28
MF140225,Croston,8,1987.28
MF140225,Croston,9,1987.28
MF140225,Croston,10,1987.28
MF140225,Croston,11,1987.28
MF140225,Croston,12,1987.28
MF434103,Holt Linear,1,1777.75
MF434103,Holt Linear,2,1560.29
MF434103,Holt Linear,3,1342.82
MF434103,Holt Linear,4,1125.36
MF434103,Holt Linear,5,907.89
MF434103,Holt Linear,6,690.43
MF434103,Holt Linear,7,472.96
MF434103,Holt Linear,8,255.5
MF434103,Holt Linear,9,38.03
MF434103,Holt Linear,10,-179.43
MF434103,Holt Linear,11,-396.9
MF434103,Holt Linear,12,-614.36
MF434104,Moving Average,1,2230.0
MF434104,Moving Average,2,1873.33
MF434104,Moving Average,3,1797.78
MF434104,Moving Average,4,1967.04
MF434104,Moving Average,5,1879.38
MF434104,Moving Average,6,1881.4
MF434104,Moving Average,7,1909.27
MF434104,Moving Average,8,1890.02
MF434104,Moving Average,9,1893.56
MF434104,Moving Average,10,1897.62
MF434104,Moving Average,11,1893.73
MF434104,Moving Average,12,1894.97
MF434105,Holt Linear,1,1656.22
MF434105,Holt Linear,2,1480.7
MF434105,Holt Linear,3,1305.18
MF434105,Holt Linear,4,1129.66
MF434105,Holt Linear,5,954.14
MF434105,Holt Linear,6,778.62
MF434105,Holt Linear,7,603.1
MF434105,Holt Linear,8,427.59
MF434105,Holt Linear,9,252.07
MF434105,Holt Linear,10,76.55
MF434105,Holt Linear,11,-98.97
MF434105,Holt Linear,12,-274.49
MF445086,Moving Average,1,1998.33
MF445086,Moving Average,2,2294.44
MF445086,Moving Average,3,1524.26
MF445086,Moving Average,4,1939.01
MF445086,Moving Average,5,1919.24
MF445086,Moving Average,6,1794.17
MF445086,Moving Average,7,1884.14
MF445086,Moving Average,8,1865.85
MF445086,Moving Average,9,1848.05
MF445086,Moving Average,10,1866.01
MF445086,Moving Average,11,1859.97
MF445086,Moving Average,12,1858.01
MF472103,Holt Linear,1,3550.95
MF472103,Holt Linear,2,3633.18
MF472103,Holt Linear,3,3715.42
MF472103,Holt Linear,4,3797.65
MF472103,Holt Linear,5,3879.89
MF472103,Holt Linear,6,3962.12
MF472103,Holt Linear,7,4044.36
MF472103,Holt Linear,8,4126.59
MF472103,Holt Linear,9,4208.83
MF472103,Holt Linear,10,4291.06
MF472103,Holt Linear,11,4373.3
MF472103,Holt Linear,12,4455.53
MF472127,Croston,1,2146.97
MF472127,Croston,2,2146.97
MF472127,Croston,3,2146.97
MF472127,Croston,4,2146.97
MF472127,Croston,5,2146.97
MF472127,Croston,6,2146.97
MF472127,Croston,7,2146.97
MF472127,Croston,8,2146.97
MF472127,Croston,9,2146.97
MF472127,Croston,10,2146.97
MF472127,Croston,11,2146.97
MF472127,Croston,12,2146.97
MH001715,ARIMA,1,1494.21
MH001715,ARIMA,2,1577.8
MH001715,ARIMA,3,1595.98
