Part_No,Best_Model,Forecast_Month,Forecast_Value
MH001715,ARIMA,4,1599.94
MH001715,ARIMA,5,1600.8
MH001715,ARIMA,6,1600.99
MH001715,ARIMA,7,1601.03
MH001715,ARIMA,8,1601.03
MH001715,ARIMA,9,1601.04
MH001715,ARIMA,10,1601.04
MH001715,ARIMA,11,1601.04
MH001715,ARIMA,12,1601.04
MS602013,Moving Average,1,1556.67
MS602013,Moving Average,2,1562.22
MS602013,Moving Average,3,1466.3
MS602013,Moving Average,4,1528.4
MS602013,Moving Average,5,1518.97
MS602013,Moving Average,6,1504.55
MS602013,Moving Average,7,1517.31
MS602013,Moving Average,8,1513.61
MS602013,Moving Average,9,1511.82
MS602013,Moving Average,10,1514.25
MS602013,Moving Average,11,1513.23
MS602013,Moving Average,12,1513.1
MS660163,Holt-Winters,1,2042.09
MS660163,Holt-Winters,2,2061.3
MS660163,Holt-Winters,3,2080.52
MS660163,Holt-Winters,4,2099.74
MS660163,Holt-Winters,5,2118.96
MS660163,Holt-Winters,6,2138.18
MS660163,Holt-Winters,7,2157.4
MS660163,Holt-Winters,8,2176.62
MS660163,Holt-Winters,9,2195.83
MS660163,Holt-Winters,10,2215.05
MS660163,Holt-Winters,11,2234.27
MS660163,Holt-Winters,12,2253.49
MS660164,Holt-Winters,1,2061.63
MS660164,Holt-Winters,2,2075.38
MS660164,Holt-Winters,3,2089.14
MS660164,Holt-Winters,4,2102.9
MS660164,Holt-Winters,5,2116.66
MS660164,Holt-Winters,6,2130.41
MS660164,Holt-Winters,7,2144.17
MS660164,Holt-Winters,8,2157.93
MS660164,Holt-Winters,9,2171.69
MS660164,Holt-Winters,10,2185.44
MS660164,Holt-Winters,11,2199.2
MS660164,Holt-Winters,12,2212.96
