Warehouse,Part_No,Total_Demand,Avg_Demand,Std_Demand,CV,Non_Zero_Months,Intermittency_Rate,Demand_Class,Demand_Percentage,Cumulative_Percentage,ABC_Class,XYZ_Class,ABC_XYZ,Forecast_Strategy
1153,IA202698,38937.0,581.15,175.68,0.3,67,0.0,Fast Moving,0.0411198504738654,30.25333568777084,A,X,AX,Holt-Winters
1152,MF472141,38790.0,578.96,449.62,0.78,67,0.0,Fast Moving,0.0409646094943432,30.294300297265178,A,Y,AY,ARIMA
1110,ID309848,38709.0,577.75,267.55,0.46,67,0.0,Fast Moving,0.0408790685464431,30.33517936581162,A,X,AX,Holt-Winters
1153,IA200792,38647.0,576.82,154.69,0.27,67,0.0,Fast Moving,0.0408135927591616,30.37599295857078,A,X,AX,Holt-Winters
1155,IA328687,38380.0,572.84,384.29,0.67,67,0.0,Fast Moving,0.0405316244494171,30.4165245830202,A,Y,AY,ARIMA
1155,MF660064,38361.0,572.55,335.11,0.59,63,0.06,Fast Moving,0.0405115592887986,30.457036142309,A,Y,AY,ARIMA
1155,IA309482,38145.0,569.33,202.96,0.36,67,0.0,Fast Moving,0.0402834500943986,30.4973195924034,A,X,AX,Holt-Winters
1153,ID609123,38145.0,569.33,425.59,0.75,56,0.16,Fast Moving,0.0402834500943986,30.5376030424978,A,Y,AY,ARIMA
1153,MF520016,38120.0,568.96,177.76,0.31,67,0.0,Fast Moving,0.0402570485672689,30.577860091065062,A,X,AX,Holt-Winters
1153,2223958456,38112.0,568.84,246.88,0.43,61,0.09,Fast Moving,0.0402486000785874,30.618108691143654,A,X,AX,Holt-Winters
1110,IA461216,38077.0,568.31,1234.71,2.17,18,0.73,Slow Moving,0.040211637940606,30.65832032908426,A,Z,AZ,ARIMA
1153,MT321741,38050.0,567.91,185.59,0.33,67,0.0,Fast Moving,0.0401831242913059,30.698503453375565,A,X,AX,Holt-Winters
1155,MB025153,38028.0,567.58,448.13,0.79,67,0.0,Fast Moving,0.0401598909474319,30.738663344323,A,Y,AY,ARIMA
1153,MW028255,37967.0,566.67,209.59,0.37,67,0.0,Fast Moving,0.0400954712212355,30.77875881554424,A,X,AX,Holt-Winters
1110,IE312586,37964.0,566.63,828.61,1.46,66,0.01,Fast Moving,0.04009230303798,30.818851118582213,A,Z,AZ,ARIMA
