Warehouse,Part_No,Total_Demand,Avg_Demand,Std_Demand,CV,Non_Zero_Months,Intermittency_Rate,Demand_Class
1152,IA202957,127.0,1.9,2.32,1.22,38,0.43,Fast Moving
1152,IA202958,300.0,4.48,7.77,1.74,49,0.27,Fast Moving
1152,IA202971,733.0,10.94,17.43,1.59,44,0.34,Fast Moving
1152,IA202974,1220.0,18.21,21.56,1.18,54,0.19,Fast Moving
1152,IA202977,23.0,0.34,1.0,2.92,9,0.87,Slow Moving
1152,IA202989,0.0,0.0,0.0,0.0,0,1.0,Dead Stock
1152,IA202992,1152.0,17.19,38.02,2.21,56,0.16,Fast Moving
1152,IA202999,12.0,0.18,0.62,3.47,7,0.9,Slow Moving
1152,IA203000,6.0,0.09,0.41,4.62,4,0.94,Intermittent
1152,IA203003,0.0,0.0,0.0,0.0,0,1.0,Dead Stock
1152,IA203017,89.0,1.33,2.7,2.03,29,0.57,Fast Moving
1152,IA203019,5405.0,80.67,60.42,0.75,66,0.01,Fast Moving
1152,IA203020,3330.0,49.7,51.13,1.03,61,0.09,Fast Moving
1152,IA203021,2195.0,32.76,53.62,1.64,52,0.22,Fast Moving
1152,IA203022,1740.0,25.97,29.99,1.15,55,0.18,Fast Moving
1152,IA203023,2135.0,31.87,34.71,1.09,57,0.15,Fast Moving
1152,IA203024,1191.0,17.78,18.45,1.04,56,0.16,Fast Moving
1152,IA203025,919.0,13.72,22.29,1.63,45,0.33,Fast Moving
1152,IA203026,38.0,0.57,1.22,2.16,15,0.78,Slow Moving
1152,IA203029,2988.0,44.6,25.65,0.58,67,0.0,Fast Moving
1152,IA203030,806.0,12.03,9.84,0.82,66,0.01,Fast Moving
1152,IA203033,3.0,0.04,0.27,6.02,2,0.97,Intermittent
1152,IA203036,22161.0,330.76,158.38,0.48,67,0.0,Fast Moving
1152,IA203066,163.0,2.43,4.71,1.94,48,0.28,Fast Moving
1152,IA203074,88.0,1.31,3.61,2.75,8,0.88,Slow Moving
1152,IA203086,27537.0,411.0,265.48,0.65,67,0.0,Fast Moving
1152,IA203110,13.0,0.19,0.53,2.71,10,0.85,Slow Moving
1152,IA203111,13.0,0.19,0.55,2.85,9,0.87,Slow Moving
1152,IA203177,2570.0,38.36,49.37,1.29,52,0.22,Fast Moving
1152,IA203178,2920.0,43.58,37.08,0.85,60,0.1,Fast Moving
1152,IA203179,1989.0,29.69,30.95,1.04,56,0.16,Fast Moving
1152,IA203180,1970.0,29.4,25.79,0.88,57,0.15,Fast Moving
1152,IA203181,1060.0,15.82,18.7,1.18,41,0.39,Fast Moving
1152,IA203182,1050.0,15.67,22.41,1.43,34,0.49,Fast Moving
1152,IA203183,515.0,7.69,10.7,1.39,29,0.57,Fast Moving
1152,IA203187,5.0,0.07,0.26,3.52,5,0.93,Intermittent
1152,IA203201,24.0,0.36,0.62,1.72,19,0.72,Slow Moving
1152,IA203210,1953.0,29.15,22.14,0.76,64,0.04,Fast Moving
1152,IA203211,490.0,7.31,9.63,1.32,40,0.4,Fast Moving
1152,IA203213,7620.0,113.73,143.12,1.26,64,0.04,Fast Moving
1152,IA203217,19.0,0.28,0.73,2.57,12,0.82,Slow Moving
1152,IA203270,32.0,0.48,1.1,2.3,12,0.82,Slow Moving
1152,IA203347,890.0,13.28,30.52,2.3,32,0.52,Fast Moving
1152,IA203349,644.0,9.61,26.42,2.75,24,0.64,Fast Moving
1152,IA203350,280.0,4.18,11.22,2.68,10,0.85,Slow Moving
1152,IA203369,1115.0,16.64,22.01,1.32,47,0.3,Fast Moving
